,SAMPN,RESTY,HHSIZ,HHLIC,INCOM_R,HHVEH_R
350,3009733,1,2,2,9,2
351,3009768,1,1,1,1,1
352,3009853,2,1,0,1,0
353,3009871,1,3,3,4,3
354,3009885,1,1,1,4,1
355,3009898,1,2,2,4,2
356,3009918,2,1,1,2,1
357,3009953,1,2,1,2,1
358,3009970,1,2,0,2,0
359,3010057,1,4,2,4,2
360,3010101,2,2,2,2,2
361,3010116,1,4,2,4,2
362,3010149,1,3,2,4,3
363,3010186,2,1,1,3,1
364,3010188,2,1,1,1,0
365,3010200,2,1,0,9,0
366,3010282,1,5,2,4,3
367,3010293,1,2,2,2,2
368,3010307,1,4,2,4,2
369,3010327,2,1,0,1,0
370,3010342,1,1,1,9,1
371,3010431,1,3,3,4,3
372,3010461,2,1,1,2,1
373,3010487,1,2,2,2,3
374,3010587,1,2,2,2,3
375,3010589,1,2,2,4,2
376,3010603,1,1,1,1,1
377,3010619,1,2,2,4,2
378,3010656,2,1,1,4,1
379,3010678,1,2,2,1,2
380,3010729,2,3,3,4,3
381,3010734,1,2,2,9,2
382,3010782,1,2,2,3,3
383,3010786,1,5,2,4,2
384,3010832,2,1,0,1,0
385,3010897,1,2,2,4,3
386,3010947,2,3,1,2,1
387,3010959,1,2,2,4,3
388,3010975,1,1,1,2,1
389,3011030,1,1,1,2,1
390,3011072,1,1,1,1,1
391,3011142,1,2,2,4,2
392,3011166,2,1,1,3,2
393,3011172,2,1,0,1,0
394,3011208,1,1,1,9,1
395,3011215,1,3,3,4,3
396,3011256,1,4,2,4,3
397,3011299,2,1,0,1,0
398,3011309,2,1,1,2,0
399,3011317,2,1,0,1,0
400,3011325,2,1,0,9,1
401,3011361,1,2,1,9,1
402,3011484,1,2,2,2,2
403,3011524,1,3,3,3,3
404,3011543,1,1,1,2,3
405,3011560,2,1,1,2,1
406,3011609,1,3,2,4,2
407,3011633,1,4,4,2,3
408,3011686,1,1,1,3,1
409,3011711,1,2,2,4,2
410,3011746,2,2,2,3,2
411,3011777,2,1,1,4,1
412,3011785,1,2,2,4,2
413,3011818,1,2,2,3,3
414,3011824,1,3,3,9,2
415,3011825,1,2,2,2,3
416,3011942,2,2,2,1,1
417,3011948,1,1,1,2,1
418,3011980,1,1,1,2,1
419,3011992,2,2,1,1,1
420,3012012,2,1,1,2,0
421,3012024,2,2,2,4,2
422,3012062,1,2,2,4,3
423,3012066,2,1,1,4,1
424,3012145,2,3,1,1,0
425,3012157,2,2,2,2,2
426,3012170,2,3,3,2,1
427,3012171,1,4,3,4,3
428,3012175,1,3,2,4,2
429,3012181,1,3,2,1,2
430,3012188,2,2,2,4,1
431,3012195,2,1,1,4,1
432,3012204,3,1,1,2,1
433,3012334,1,2,1,2,1
434,3012373,1,1,1,1,1
435,3012390,2,1,1,1,0
436,3012442,1,3,3,9,2
437,3012443,1,2,2,2,2
438,3012523,2,1,1,2,1
439,3012524,1,2,2,3,2
440,3012530,1,5,2,3,2
441,3012531,1,2,2,2,3
442,3012547,1,2,2,4,1
443,3012558,2,1,0,1,0
444,3012581,2,2,2,9,2
445,3012647,1,3,2,4,3
446,3012657,1,1,1,3,1
447,3012724,2,5,2,4,3
448,3012747,2,1,1,4,0
449,3012753,1,1,1,1,1
450,3012754,1,2,2,4,2
451,3012770,2,1,0,2,0
452,3012782,2,3,1,4,0
453,3012811,2,1,0,2,0
454,3012834,2,3,1,4,2
455,3012840,1,3,2,4,2
456,3012845,2,2,1,3,1
457,3012856,1,1,0,9,0
458,3012892,2,2,2,3,1
459,3012919,2,2,2,4,0
460,3012995,2,2,1,1,0
461,3013006,1,2,2,4,2
462,3013030,2,3,2,4,0
463,3013033,2,2,2,4,2
464,3013089,1,2,2,9,2
465,3013113,1,1,1,9,2
466,3013134,2,5,0,1,0
467,3013157,1,2,2,2,3
468,3013169,1,1,1,4,1
469,3013173,2,1,1,4,0
470,3013174,1,3,2,4,2
471,3013206,1,2,2,9,2
472,3013210,2,3,1,1,0
473,3013350,2,2,2,2,3
474,3013374,1,1,1,4,2
475,3013379,1,4,2,4,2
476,3013398,2,2,2,2,1
477,3013444,2,1,0,4,0
478,3013449,1,2,2,2,3
479,3013530,2,1,1,2,1
480,3013555,1,2,2,4,2
481,3013561,1,2,2,4,2
482,3013562,1,1,1,4,1
483,3013579,1,4,2,3,3
484,3013715,2,1,0,4,0
485,3013740,1,4,4,4,3
486,3013741,2,1,1,2,1
487,3013794,1,2,1,1,1
488,3013846,2,1,1,2,1
489,3013852,1,1,1,2,2
490,3013865,1,3,2,4,3
491,3013892,1,2,2,2,3
492,3013895,1,1,0,9,0
493,3013905,2,3,2,2,1
494,3013917,1,4,3,3,2
495,3013994,2,2,2,3,0
496,3014038,1,3,2,9,2
497,3014059,1,4,2,2,2
498,3014077,2,2,2,2,2
499,3014126,1,3,3,2,3
500,3014178,1,2,2,2,3
501,3014239,1,1,1,2,1
502,3014293,2,3,3,4,3
503,3014317,1,1,0,1,0
504,3014333,2,2,2,2,1
505,3014387,2,1,1,3,1
506,3014388,1,2,2,4,3
507,3014402,1,4,2,4,2
508,3014422,1,2,1,3,2
509,3014513,1,2,2,2,3
510,3014528,2,1,1,2,1
511,3014558,2,1,1,2,1
512,3014576,1,2,2,4,3
513,3014599,1,2,2,4,3
514,3014608,1,2,2,4,2
515,3014633,2,1,1,2,0
516,3014644,2,1,1,2,0
517,3014688,1,5,2,4,2
518,3014719,1,2,2,2,2
519,3014744,2,7,2,2,2
520,3014767,1,4,2,2,2
521,3014836,1,3,2,2,1
