,SAMPN,CTFIP,BIN,RESTY,HHSIZ,INCOM,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,GEO_GROUP1,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC
94,3002585,34025,21,1,4,8,2,2,2,2,2,1,97.0,PORT MONMOUTH,PORT MONMOUTH CDP,Middletown township,NJ,7758,3260,34025800500,10,4,4,2,1
95,3002595,34003,17,1,2,4,2,0,0,2,0,1,357.14286,PARAMUS,PARAMUS BOROUGH,Paramus borough,NJ,7652,2706,34003042100,7,2,2,2,6
96,3002707,9001,1,1,4,1,1,3,0,1,2,1,1499.5,NORWALK,NORWALK CITY,Norwalk town,CT,6854,2509,9001043800,6,4,1,1,5
97,3002780,34025,10,1,4,5,1,2,2,2,2,2,529.33333,HAZLET,,Hazlet township,NJ,7730,3246,34025802300,10,4,3,1,1
98,3002789,36059,17,1,2,8,2,0,2,2,0,1,153.21429,MASSAPEQUA,MASSAPEQUA CDP,Oyster Bay town,NY,11758,1855,36059521400,3,2,4,2,2
99,3002880,34037,21,1,2,5,2,0,2,2,0,1,71.92857,SPARTA,,Sparta township,NJ,7871,3381,34037373300,11,2,3,2,2
100,3002976,34023,19,1,3,8,3,0,3,3,0,1,68.05263,EAST BRUNSWICK,,East Brunswick township,NJ,8816,3207,34023006701,9,3,4,3,2
101,3003004,36103,3,1,4,7,2,2,1,3,0,1,1950.0,WEST ISLIP,WEST ISLIP CDP,Islip town,NY,11795,1986,36103146800,3,4,4,2,4
102,3003034,36059,17,2,1,5,1,0,1,1,0,1,341.28571,BALDWIN,BALDWIN CDP,Hempstead town,NY,11510,1763,36059413500,3,1,3,1,4
103,3003041,34003,17,2,1,3,0,0,0,0,0,1,226.375,FORT LEE,FORT LEE BOROUGH,Fort Lee borough,NJ,7024,2679,34003019103,7,1,2,0,6
104,3003043,36005,13,2,1,1,0,0,1,0,0,1,340.6,BRONX,NEW YORK CITY,Bronx borough,NY,10453,828,36005021700,2,1,1,0,4
105,3003044,34027,3,1,4,7,5,0,3,4,0,1,581.0,ROCKAWAY,,Rockaway township,NJ,7866,3178,34027044401,9,4,4,3,2
106,3003061,36119,17,1,4,5,2,2,2,3,0,1,264.57143,YONKERS,YONKERS CITY,Yonkers city,NY,10704,2175,36119001504,4,4,3,2,2
